Display Name,Species ID,HP,Attack,Defense,Speed,Sp. Attack,Sp. Defense,Total Stats,Type 1,Type 2,Growth Rate,Evolution Species,Evolution Method,Evolution Level,Enabled
Bulbasaur,BULBASAUR,45,49,49,45,65,65,318,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,IVYSAUR,EVO_LEVEL,16,TRUE
Ivysaur,IVYSAUR,60,62,63,60,80,80,405,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,VENUSAUR,EVO_LEVEL,32,TRUE
Venusaur,VENUSAUR,80,82,83,80,100,100,525,TYPE_GRASS,TYPE_POISON,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Charmander,CHARMANDER,39,52,43,65,0,50,249,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_SLOW,CHARMELEON,EVO_LEVEL,16,TRUE
Charmeleon,CHARMELEON,58,64,58,80,0,65,325,TYPE_FIRE,TYPE_FIRE,GROWTH_MEDIUM_SLOW,CHARIZARD,EVO_LEVEL,36,TRUE
Charizard,CHARIZARD,78,84,78,100,0,85,425,TYPE_FIRE,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Squirtle,SQUIRTLE,44,48,65,43,50,0,250,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,WARTORTLE,EVO_LEVEL,16,TRUE
Wartortle,WARTORTLE,59,63,80,58,65,0,325,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,BLASTOISE,EVO_LEVEL,36,TRUE
Blastoise,BLASTOISE,79,83,100,78,85,0,425,TYPE_WATER,TYPE_WATER,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Caterpie,CATERPIE,45,30,35,45,25,20,200,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,METAPOD,EVO_LEVEL,7,TRUE
Metapod,METAPOD,70,20,55,30,25,25,225,TYPE_BUG,TYPE_BUG,GROWTH_MEDIUM_FAST,BUTTERFREE,EVO_LEVEL,10,TRUE
Butterfree,BUTTERFREE,60,45,50,70,0,80,305,TYPE_BUG,TYPE_FLYING,GROWTH_MEDIUM_FAST,NONE,NONE,0,TRUE
Weedle,WEEDLE,40,35,30,50,25,20,200,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,KAKUNA,EVO_LEVEL,7,FALSE
Kakuna,KAKUNA,65,25,50,35,25,25,225,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,BEEDRILL,EVO_LEVEL,10,FALSE
Beedrill,BEEDRILL,65,0,40,75,45,0,225,TYPE_BUG,TYPE_POISON,GROWTH_MEDIUM_FAST,NONE,NONE,0,FALSE
Pidgey,PIDGEY,40,45,40,56,35,35,251,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,PIDGEOTTO,EVO_LEVEL,18,TRUE
Pidgeotto,PIDGEOTTO,63,60,55,71,50,50,349,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,PIDGEOT,EVO_LEVEL,36,TRUE
Pidgeot,PIDGEOT,83,90,75,91,70,70,479,TYPE_NORMAL,TYPE_FLYING,GROWTH_MEDIUM_SLOW,NONE,NONE,0,TRUE
Rattata,RATTATA,30,56,35,72,25,0,218,TYPE_NORMAL,TYPE_NORMAL,GROWTH_MEDIUM_FAST,RATICATE,EVO_LEVEL,20,TRUE
